Name,Stage,NameLink
Alba Orbital,Seed,https://www.albaorbital.com/
Alltruists,Seed,https://www.instagram.com/alltruists/
AngelList,Late,https://www.angellist.com/
Avion,Seed,https://www.avionschool.com/
DreamWorld,Seed,https://www.playdreamworld.com/
Elpha,Seed,https://elpha.com/
Float,Seed,https://floatpay.com/
Gerald,Seed,https://joingerald.com/
H3X,Seed,https://www.h3x.tech/
Jelly,Seed,https://jellypbc.com/
Kilobaser,Seed,https://kilobaser.com/
Levels,Late,https://www.levelshealth.com/
Localyze,Seed,https://www.localyze.com/
Mercury,Late,https://mercury.com/
NearAI,Seed,http://near.ai/
Numina,Seed,https://numina.co/
Numind,Seed,https://www.numind.ai/
Pear Suite,Seed,https://www.pearsuite.com/
Serinus,Seed,https://www.serinus.bio/
Span,Late,https://www.span.io/
Version Story,Seed,https://versionstory.com/
Wefunder,Late,https://wefunder.com/